year mon day PCx PCy phase Amp(nrm) Amp(non-nrm)
1979 03 22  0.434 -0.573 7  0.719  224.5
1979 03 23  0.537 -0.472 8  0.715  219.5
1979 03 24  0.619 -0.354 8  0.713  215.2
1979 03 25  0.676 -0.223 8  0.711  211.9
1979 03 26  0.705 -0.084 8  0.710  209.9
1979 03 27  0.706  0.058 1  0.708  209.1
1979 03 28  0.677  0.195 1  0.705  209.5
1979 03 29  0.620  0.323 1  0.699  210.5
1979 03 30  0.538  0.436 1  0.692  211.8
1979 03 31  0.434  0.529 2  0.684  212.8
1979 04 01  0.312  0.597 2  0.674  213.0
1979 04 02  0.179  0.639 2  0.663  212.1
1979 04 03  0.040  0.651 2  0.652  209.6
1979 04 04 -0.098  0.633 3  0.640  205.5
1979 04 05 -0.228  0.586 3  0.629  200.1
1979 04 06 -0.345  0.512 3  0.617  193.5
1979 04 07 -0.442  0.414 4  0.606  186.4
1979 04 08 -0.515  0.297 4  0.594  179.5
1979 04 09 -0.560  0.166 4  0.584  173.7
1979 04 10 -0.574  0.027 4  0.575  169.7
1979 04 11 -0.557 -0.112 5  0.568  168.3
1979 04 12 -0.508 -0.245 5  0.564  169.5
1979 04 13 -0.430 -0.366 5  0.565  173.1
1979 04 14 -0.326 -0.468 6  0.571  178.7
1979 04 15 -0.200 -0.546 6  0.582  185.3
1979 04 16 -0.059 -0.596 6  0.598  192.3
1979 04 17  0.091 -0.613 7  0.620  199.0
1979 04 18  0.244 -0.597 7  0.645  205.1
1979 04 19  0.391 -0.547 7  0.673  210.5
1979 04 20  0.525 -0.465 8  0.702  215.5
1979 04 21  0.641 -0.353 8  0.732  220.6
1979 04 22  0.730 -0.216 8  0.762  226.5
1979 04 23  0.790 -0.057 8  0.792  233.9
1979 04 24  0.815  0.115 1  0.823  243.5
1979 04 25  0.804  0.294 1  0.856  255.5
1979 04 26  0.756  0.473 1  0.892  270.0
1979 04 27  0.671  0.643 1  0.930  286.5
1979 04 28  0.553  0.799 2  0.971  304.3
1979 04 29  0.404  0.932 2  1.016  322.5
1979 04 30  0.230  1.037 2  1.062  340.2
1979 05 01  0.037  1.109 2  1.109  356.6
1979 05 02 -0.168  1.143 3  1.156  371.0
1979 05 03 -0.377  1.139 3  1.200  382.8
1979 05 04 -0.583  1.095 3  1.240  391.8
1979 05 05 -0.778  1.011 3  1.275  398.0
1979 05 06 -0.954  0.890 4  1.305  401.5
1979 05 07 -1.105  0.735 4  1.327  402.9
1979 05 08 -1.225  0.552 4  1.344  402.8
1979 05 09 -1.310  0.345 4  1.354  402.2
1979 05 10 -1.355  0.122 4  1.360  401.9
1979 05 11 -1.359 -0.110 5  1.364  402.7
1979 05 12 -1.321 -0.344 5  1.365  405.4
1979 05 13 -1.242 -0.573 5  1.367  410.2
1979 05 14 -1.123 -0.788 5  1.372  417.3
1979 05 15 -0.968 -0.984 6  1.380  426.3
1979 05 16 -0.781 -1.153 6  1.393  436.7
1979 05 17 -0.567 -1.292 6  1.411  447.9
1979 05 18 -0.332 -1.395 6  1.434  459.1
1979 05 19 -0.081 -1.459 6  1.461  469.8
1979 05 20  0.177 -1.482 7  1.493  479.6
1979 05 21  0.437 -1.464 7  1.528  488.3
1979 05 22  0.693 -1.405 7  1.566  495.9
1979 05 23  0.937 -1.305 7  1.607  502.6
1979 05 24  1.163 -1.169 7  1.649  509.1
1979 05 25  1.368 -0.997 8  1.693  515.7
1979 05 26  1.545 -0.797 8  1.738  523.0
1979 05 27  1.691 -0.570 8  1.784  531.7
1979 05 28  1.802 -0.325 8  1.831  542.0
1979 05 29  1.876 -0.065 8  1.877  554.1
1979 05 30  1.911  0.202 1  1.922  567.8
1979 05 31  1.907  0.471 1  1.964  582.8
1979 06 01  1.862  0.735 1  2.002  598.3
1979 06 02  1.779  0.988 1  2.035  613.8
1979 06 03  1.658  1.225 1  2.061  628.2
1979 06 04  1.502  1.440 1  2.080  640.9
1979 06 05  1.313  1.627 2  2.091  651.1
1979 06 06  1.095  1.783 2  2.092  658.1
1979 06 07  0.853  1.903 2  2.085  661.6
1979 06 08  0.591  1.984 2  2.070  661.3
1979 06 09  0.315  2.024 2  2.048  657.3
1979 06 10  0.029  2.021 2  2.021  649.8
1979 06 11 -0.259  1.974 3  1.991  639.4
1979 06 12 -0.544  1.885 3  1.961  626.9
